,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
31 - 201/,CARMAN ROAD UNDERPASS..........,401,44.857485,-75.33042,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2011,,,2,Total=72.2  (1)=36.1;(2)=36.1;,73.3,12,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/15/2012,100,,100,,0,,65.9,,66.1,,58.6,,58.6,,81.7
31 - 202/,BRINSTON RD U'PASS,401,44.870006,-75.306075,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1965,1984,,4,Total=62  (1)=12;(2)=19;(3)=19;(4)=12;,64,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/09/2012,63.1,,63.1,,64,,65.8,,66.9,,69.5,,72.1,,86.9
31 - 203/,FLAG ROAD UNDERPASS,401,44.892111,-75.259003,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,1984,,4,Total=62  (1)=11;(2)=20;(3)=20;(4)=11;,63.6,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/09/2012,73.2,,73.2,,72.9,,73,,73.1,,73.3,,74.4,,97.8
31 - 204/,HIGHWAY 31 UP,401,44.916989,-75.197628,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1965,1992,,4,Total=70  (1)=12;(2)=23;(3)=23;(4)=12;,70.1,18.1,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/09/2012,57.9,,57.9,,60,,64.2,,64.6,,68.4,,65.3,,82.6
31 - 205/1,HOASIC CREEK BRIDGE (EBL)......,401,44.930036,-75.166341,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1962,2003,,1,Total=11  (1)=11;,12.1,12.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/09/2012,66.7,,66.7,,75,,87.9,,73.1,,72.5,,74.1,,50.5
31 - 205/2,HOASIC CREEK BRIDGE (WBL)......,401,44.93042,-75.166565,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1964,2007,,1,Total=11  (1)=11;,12.2,12.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/09/2012,74.4,,74.4,,75.8,,78.6,,67.3,,68.7,,73.5,,91.9
31 - 209/1, CORNWALL CENTRE RD O'PASS EBL,401,45.05289,-74.788063,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2012,2009,1,Total=18  (1)=18;,19.1,13.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/15/2012,46.2,,46.2,,47.8,,60.8,,61.2,,70,,76.8,,86.8
31 - 209/2, CORNWALL CENTRE RD O'PASS WBL,401,45.053206,-74.78742,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2012,1997,1,Total=18  (1)=18;,19.1,13.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/15/2012,38.5,,38.5,,36.3,,58.1,,62.5,,64.1,,77.5,,85.4
31 - 210/,BROOKDALE AVE U'PASS,401,45.052189,-74.772956,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1962,2005,2012,4,Total=108  (1)=27;(2)=27;(3)=27;(4)=27;,110.8,17.2,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/01/2012,63.8,,63.8,,63.8,,65.3,,66.7,,66.3,,67.2,,91
31 - 211/1,PITT STREET OVERPASS......EBL,401,45.051664,-74.755258,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,1987,,3,Total=41  (1)=10;(2)=21;(3)=10;,42.3,11.1,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/15/2012,67,,67,,66.8,,72.7,,73,,70,,83.7,,98
31 - 211/2,PITT STREET OVERPASS (WBL),401,45.051919,-74.75548,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,1987,1987,3,Total=41  (1)=10;(2)=21;(3)=10;,42.3,11.1,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/15/2012,70.7,,70.7,,70.8,,73.6,,74.1,,72.8,,83.9,,97.3
31 - 213/,MCCONNELL AVENUE UNDERPASS,401,45.052533,-74.739029,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1962,2007,2012,4,Total=72  (1)=13;(2)=23;(3)=23;(4)=13;,79.8,11.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/01/2012,57.4,,57.4,,57.4,,62.8,,66.7,,66.4,,68.5,,88.9
31 - 215/, BOUNDARY ROAD UNDERPASS,401,45.0636,-74.691051,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2011,2012,,2,Total=73  (1)=36.5;(2)=36.5;,76.8,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/01/2012,100,,0,,0,,55.2,,61.7,,60.8,,62.7,,88.7
31 - 216/1,CNR OVERHEAD..............(EBL),401,45.065869,-74.658589,Bridge,Beam/Girder,Rolled I Beam,Steel,1960,2012,1985,3,Total=63  (1)=21;(2)=21;(3)=21;,63.6,11.1,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/01/2012,57.1,,57.1,,57.1,,64,,56.4,,65.9,,76.6,,73.8
31 - 216/2,CNR OVERHEAD..............(WBL),401,45.066197,-74.658269,Bridge,Beam/Girder,Rolled I Beam,Steel,1960,2012,2006,3,Total=63  (1)=21;(2)=21;(3)=21;,63.6,11.1,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/01/2012,55.4,,55.4,,55.4,,56.5,,61,,64.4,,74.2,,94.8
31 - 229/,COUNTY RD TO SUMMERSTOWN U'PASS,401,45.090714,-74.59215,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,2012,1994,4,Total=68  (1)=11;(2)=23;(3)=23;(4)=11;,66.3,11.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,12/14/2012,64.4,,64.4,,64.4,,65.4,,69.2,,69,,72.4,,86.1
31 - 230/,FRASER RD UNDERPASS,401,45.114025,-74.544989,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1968,1984,,4,Total=90  (1)=21;(2)=24;(3)=24;(4)=21;,89.6,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,11/22/2012,68.3,,68.3,,68.4,,70.3,,69.7,,71,,74,,98.1
31 - 231/1,RAISIN RIVER BRIDGE (EBL)......,401,45.132397,-74.505158,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1962,1999,,3,Total=59  (1)=17;(2)=25;(3)=17;,59.1,10.9,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/14/2012,62.1,,62.1,,66,,71.1,,73.8,,74.7,,73.9,,0
31 - 231/2,RAISIN RIVER BRIDGE (WBL)......,401,45.132522,-74.50555,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1962,1999,,3,Total=59  (1)=17;(2)=25;(3)=17;,59.1,10.9,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/14/2012,61,,61,,65.1,,69.7,,72.3,,73.6,,74.9,,0
31 - 232/,HWY#2 & 34 INTERCHANGE (UP),401,45.136472,-74.496722,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1963,1992,,2,Total=66  (1)=33;(2)=33;,65.8,12,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,11/22/2012,70.7,,70.7,,69.3,,70.2,,69.5,,69.7,,62,,83.6
31 - 233/,WESTLEY ROAD UNDERPASS,401,45.162627,-74.444216,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,1992,,6,Total=112  (1)=18;(2)=18;(3)=18;(4)=20;(5)=20;(6)=18;,113,10.5,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/09/2010,69.4,,,,69.4,,73.4,,73.2,,74.3,,0,,94.5
31 - 234/1,WESTLEY CREEK BRIDGE.......(EBL),401,45.163072,-74.442669,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1963,2006,,1,Total=9  (1)=9;,9.7,13.2,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,74.4,,74.4,,74.8,,74.8,,75,,67,,73.5,,91.7
31 - 234/2,WESTLEY CREEK BRIDGE.......(WBL),401,45.163325,-74.442817,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1963,2006,,1,Total=9  (1)=9;,9.7,13.2,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,73.2,,73.2,,74.3,,74.9,,75.8,,65.8,,72,,91.5
31 - 241/,BAINSVILLE ROAD UNDERPASS,401,45.176433,-74.409042,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,1992,,6,Total=121.2  (1)=20.4;(2)=20.7;(3)=20.7;(4)=20.7;(5)=20.7;(6)=18;,121.6,10.5,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,06/08/2010,72.7,,,,72.7,,69.4,,73.1,,68.8,,68.6,,94.1
31 - 242/1,SUTHERLAND CREEK BRIDGE - (EBL),401,45.189197,-74.383389,Bridge,Beam/Girder,Rolled I Beam,Steel,1964,1994,,3,Total=28  (1)=7.6;(2)=12.8;(3)=7.6;,28.5,12.6,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,67.2,,67.2,,69.9,,73.5,,71.2,,70.3,,78.3,,94.8
31 - 242/2,SUTHERLAND CREEK BRIDGE (WBL),401,45.188974,-74.383916,Bridge,Beam/Girder,Rolled I Beam,Steel,1964,1994,1999,3,Total=28  (1)=7.6;(2)=12.8;(3)=7.6;,28.5,12.6,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,73.6,,73.6,,74.2,,81.5,,75.8,,75.9,,92.7,,0
31 - 242/3,"COUNTY ROAD #2 UNDERPASS
W of Curry Hill Interchange #825",401,45.189088,-74.383619,Bridge,Beam/Girder,Rolled I Beam,Steel,1964,1999,,4,Total=146.4  (1)=30.5;(2)=42.7;(3)=42.7;(4)=30.5;,147,11,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,74.3,,74.3,,74.7,,74.7,,75.3,,75.3,,86.4,,0
31 - 243/,"HWY 401 U'PASS AT CURRY HILL RD
Interchange 825",401,45.192417,-74.381072,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,1994,1994,4,Total=92  (1)=23;(2)=23;(3)=23;(4)=23;,90.2,11.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,12/19/2012,70.7,,70.7,,72.1,,73.6,,74.5,,74.6,,83.6,,98.5
31 - 244/1,"WOOD CREEK BRIDGE (EBL)
East of Int. # 825",401,45.197654,-74.370142,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1964,2006,,1,Total=8  (1)=8;,9.6,13.2,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,73.8,,73.8,,74.2,,75,,75,,68.3,,72.2,,98.5
31 - 244/2,"WOOD CREEK BRIDGE (WBL)
East of Interchange 825",401,45.197876,-74.37033,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1964,2006,,1,Total=8  (1)=8;,13.2,9.3,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,73.7,,73.7,,74.7,,75,,75,,65.5,,72.9,,98.6
31 - 245/,"FORCE ROAD UNDERPASS
Last Bridge Before Quebec",401,45.206981,-74.351275,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1964,1992,,2,Total=62  (1)=31;(2)=31;,61,10.5,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,08/01/2012,75.7,,75.7,,77.5,,69.7,,64.2,,67.1,,57.5,,84.1
31 - 288/1,"SCOTCH RIVER (W-BRANCH)...(EBL)
West of Cty Rd 20 Exit 51",417,45.34034,-74.906151,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1972,1999,,1,Total=31  (1)=31;,31.1,15.9,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/02/2012,73.5,,73.5,,74.1,,74.4,,74.6,,76,,77.2,,95.9
31 - 288/2,"SCOTCH RIVER (W-BRANCH)...(WBL)
West of Cty Rd. 20 Exit 51",417,45.340652,-74.906421,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1972,1999,,1,Total=31  (1)=31;,31.1,12.7,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/02/2012,73.2,,73.2,,74,,74.3,,76,,74.7,,76.6,,95.9
31 - 289/1,"SCOTCH RIVER (E-BRANCH)...(EBL)
East of Cty Rd 20 Exit 51 ",417,45.353927,-74.887557,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1973,2012,,1,Total=29  (1)=29;,29.2,12.7,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,12/19/2012,61.7,,61.7,,61.7,,65.4,,67.4,,70.1,,70,,76.5
31 - 289/2,"SCOTCH RIVER (E-BRANCH)...(WBL)
East of Cty Rd. 20 Exit 51",417,45.354101,-74.888127,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1976,2012,,1,Total=29  (1)=29;,29.2,12.6,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,12/19/2012,59.9,,59.9,,59.9,,61.7,,62.3,,70.6,,70.8,,88
31 - 290/,"CO.RD.20 INTERCH. U'PASS
Exit 51",417,45.343231,-74.899606,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,2012,,2,Total=80  (1)=40;(2)=40;,80.5,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,12/19/2012,60.6,,60.6,,60.6,,62.5,,67.6,,63,,62.2,,88.3
31 - 291/,"COUNTY ROAD 21 UNDERPASS
E of Cty Rod 20 Exit 51
Dunvegan",417,45.379044,-74.832442,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,,,2,Total=74  (1)=37;(2)=37;,76.2,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/02/2012,78.9,,78.9,,0,,64.1,,64.9,,61.6,,63.7,,88.1
31 - 292/,"HWY.34# INTERCH. U'PASS
Exit 27",417,45.467567,-74.680169,Bridge,Slab,Other Slab Bridge,Post-Tensioned Cast-In-Place Concrete,1972,2013,1988,4,Total=178  (1)=34;(2)=55;(3)=55;(4)=34;,177.1,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,62.8,,62.8,,63.4,,67.1,,68.4,,69.7,,71.2,,88.1
31 - 293/,"COUNTY ROAD 10 UNDERPASS
McCrimmon Road Exit 35",417,45.43502,-74.742733,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,,,2,Total=76  (1)=38;(2)=38;,76.2,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,77.7,,77.7,,0,,59,,65.7,,56.1,,56.8,,72.1
31 - 294/1,"CNR & TWP RD O'HEAD (E.B.L.)
417 East of Highway 34 Exit No",417,45.483043,-74.637839,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1974,2002,,4,Total=64  (1)=15;(2)=17;(3)=17;(4)=15;,65.9,10.9,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,73.8,,73.8,,74.4,,73.4,,74.6,,71.1,,74.3,,88.7
31 - 294/2,"CNR & TWP RD O'HEAD (W.B.L.)
East of Highway 34 Exit 27",417,45.483826,-74.638513,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1974,2004,,4,Total=66  (1)=16;(2)=17;(3)=17;(4)=16;,65.9,10.9,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,74,,74,,74.6,,74.6,,75.4,,0,,68.8,,88.8
31 - 295/,"GLENGARRY CO.RD. 23 U'PASS
East of Highway 34 Exit 27",417,45.49463,-74.613031,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,,,2,Total=71  (1)=35.5;(2)=35.5;,71.1,10.4,Eastern,"STORMONT, DUNDAS, GLENGARRY",Open to traffic,Provincial,10/16/2012,74.2,,74.2,,74.6,,68.2,,68.2,,66.3,,71.1,,87.8
32 -  33/,GULL RIVER BR AT COBOCONK,35,44.658539,-78.796798,Bridge,Slab,Circular Voided Slab,Reinforced Precast Concrete,1965,1995,2009,2,Total=26  (1)=13;(2)=13;,26.5,17.1,Eastern,VICTORIA,Open to traffic,Provincial,07/25/2012,73.6,,73.6,,74.3,,74.3,,74.4,,74.3,,74.3,,74.5
32 -  42/,GULL RIVER OVERFLOW,35,44.659686,-78.798907,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1995,,1,Total=4  (1)=4;,17.1,5.5,Eastern,VICTORIA,Open to traffic,Provincial,07/25/2012,71.9,,71.9,,73,,74.7,,74.9,,74.9,,74.9,,74.9
32 -  64/,CAMERON LAKE BRIDGE,35,44.541515,-78.787387,Bridge,Beam/Girder,Rolled I Beam,Steel,1949,1985,2008,1,Total=13  (1)=13;,13.5,12,Eastern,VICTORIA,Open to traffic,Provincial,07/25/2012,66.6,,66.6,,69.2,,72.1,,72.9,,73,,0,,72.6
32 -  65/,TRENT CANAL BR. AT ROSEDALE,35,44.573453,-78.793996,Bridge,Beam/Girder,Plate I Girder,Steel,1963,1985,2008,7,Total=170  (1)=20;(2)=26;(3)=26;(4)=26;(5)=26;(6)=26;(7)=20;,169.2,11.9,Eastern,VICTORIA,Open to traffic,Provincial,07/25/2012,68.6,,68.6,,71,,71,,69.9,,70.3,,69.9,,72.3
32 -  94/,OPS TWP CNR O'HEAD,35,44.348063,-78.770643,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1957,2011,1978,1,Total=18  (1)=18;,12.8,16.2,Eastern,VICTORIA,Open to traffic,Provincial,07/26/2012,72.6,,72.6,,67.2,,67.6,,66,,65.9,,68.5,,69.3
32 -  95/,OPS TWP CNR O'HEAD,7,44.332495,-78.760541,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1978,,1,Total=13  (1)=13;,12.3,16.3,Eastern,VICTORIA,Open to traffic,Provincial,09/10/2012,68.2,,68.2,,68.2,,68.2,,69.1,,70.5,,69.1,,69.2
32 -  96/,SCUGOG RIVER BRIDGE,7,44.327669,-78.730321,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1958,2010,,3,Total=58  (1)=19;(2)=20;(3)=19;,84.2,26,Eastern,VICTORIA,Open to traffic,Provincial,07/26/2012,99.9,,99.9,,62.2,,62.2,,62.6,,63.7,,62.5,,64.2
32 -  97/,OPS TWP CPR O'HEAD,7,44.333598,-78.70883,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1957,1978,,1,Total=12  (1)=12;,14.6,16.2,Eastern,VICTORIA,Open to traffic,Provincial,07/26/2012,68.8,,68.8,,69.8,,71.4,,72.2,,72.8,,72.9,,70.8
32 - 143/,CNR O'HEAD - OMEMEE,7,44.310187,-78.513391,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,2005,2005,3,Total=39  (1)=12;(2)=15;(3)=12;,39,14,Eastern,VICTORIA,Open to traffic,Provincial,07/26/2012,75.3,,75.3,,75.2,,77.7,,74.8,,73.2,,72.6,,69.1
33 - 101/,Hopewell Creek Bridge,7,43.492819,-80.408904,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1957,2004,,1,Total=12.2  (1)=12.2;,14.5,19.5,West,WATERLOO,Open to traffic,Provincial,04/26/2013,73.4,73.4,,75.3,,75,,71.1,,75,,54.9,,71.4,
33 - 125/,Nith River Bridge (New Hamburg),7,43.373222,-80.702509,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1989,2007,2012,3,Total=71  (1)=21;(2)=29;(3)=21;,74,31.5,West,WATERLOO,Open to traffic,Provincial,04/09/2013,74.8,74.8,,75.3,,75.6,,75.8,,82.3,,74.6,,75,
33 - 137/1,Grand River Bridge (Freeport) EBL,8,43.420405,-80.417438,Bridge,Beam/Girder,Haunched Plate I Girder,Weathering Steel,2009,2010,,5,Total=192.1  (1)=32;(2)=42.7;(3)=42.7;(4)=42.7;(5)=32;,192.8,22.6,West,WATERLOO,Open to traffic,Provincial,08/20/2012,100,,100,,100,,,,,,,,,,
33 - 137/2,Grand River Bridge (Freeport) WBL,8,43.420652,-80.417078,Bridge,Beam/Girder,Haunched Plate I Girder,Steel,1961,2011,,5,Total=192.1  (1)=32;(2)=42.7;(3)=42.7;(4)=42.7;(5)=32;,192.8,22.6,West,WATERLOO,Open to traffic,Provincial,08/20/2012,80.1,,80.1,,70.1,,70.1,,72,,73.7,,71.2,72.2,
33 - 139/,Homer Watson Blvd. (Doon-Blair Road) Underpass,401,43.384881,-80.405216,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2006,,,2,Total=74.5  (1)=37.0;(2)=37.5;,74.5,34.6,West,WATERLOO,Open to traffic,Provincial,06/26/2012,96,,96,,99.5,,99.6,,73.9,,73.9,,74.1,74.9,
33 - 141/1,Grand River Bridge EBL,401,43.397873,-80.38605,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1997,2000,6,Total=237  (1)=39.3;(2)=39.6;(3)=39.6;(4)=39.6;(5)=39.6;(6)=39.3;,238.2,14.7,West,WATERLOO,Open to traffic,Provincial,10/10/2012,73.4,,73.4,,74.9,,74.5,,74.8,,75,,75,75,
33 - 141/2,Grand River Bridge WBL,401,43.39804,-80.386203,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1997,2000,6,Total=237  (1)=39.3;(2)=39.6;(3)=39.6;(4)=39.6;(5)=39.6;(6)=39.3;,238.2,14.7,West,WATERLOO,Open to traffic,Provincial,10/10/2012,73.1,,73.1,,74.3,,74,,74.8,,75,,75,75,
33 - 142/,"Waterloo Regional Road #8 Overpass
",401,43.401842,-80.379105,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1960,2000,1982,2,Total=34.8  (1)=17.4;(2)=17.4;,38.6,40.2,West,WATERLOO,Open to traffic,Provincial,05/01/2012,72.5,,72.5,,72.6,,74.5,,75,,75,,75,75,
33 - 143/,"Breslau Road Underpass (Fountain St.)
",401,43.405377,-80.370926,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1960,2014,2008,4,Total=67.39999  (1)=14;(2)=18.6;(3)=18.6;(4)=16.2;,67.4,11.2,West,WATERLOO,Open to traffic,Provincial,06/26/2012,59.9,,59.9,,60.7,,61.8,,64.6,,64.2,,60.8,73.7,
33 - 144/,Grand River Electric R. R. Overhead,401,43.407951,-80.365813,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1960,1988,2010,1,Total=15.8  (1)=15.8;,18.6,47.2,West,WATERLOO,Open to traffic,Provincial,06/05/2012,66.6,,66.6,,68.5,,70.6,,72.1,,72.3,,72.3,75,
33 - 145/,Waterloo Regional Road #38 Underpass (Speedsville Rd.),401,43.413564,-80.350256,Bridge,Slab,Rectangular Voided Slab,Reinforced Cast-In-Place Concrete,1960,2014,2010,4,Total=60.94  (1)=11.73;(2)=18.74;(3)=18.74;(4)=11.73;,60.9,10.3,West,WATERLOO,Open to traffic,Provincial,05/17/2012,63.4,,63.4,,66.7,,66.5,,69.5,,70,,0,75,
33 - 146/1,Speed River Bridge (West Channel) EBL,401,43.41354,-80.345423,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,,4,Total=51.8  (1)=10.7;(2)=15.2;(3)=15.2;(4)=10.7;,52.8,17.3,West,WATERLOO,Open to traffic,Provincial,08/14/2012,69.3,,69.3,,69.3,,69.9,,69.7,,69.7,,0,74.5,
33 - 146/2,Speed River Bridge (West Channel) WBL,401,43.413748,-80.345396,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,,4,Total=51.8  (1)=10.7;(2)=15.2;(3)=15.2;(4)=10.7;,52.8,17.3,West,WATERLOO,Open to traffic,Provincial,09/13/2012,72,,72,,72.5,,72.6,,69.5,,69.6,,0,74.5,
33 - 147/1,Speed River Bridge (East Channel) EBL,401,43.413561,-80.344203,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,,3,Total=36.6  (1)=10.7;(2)=15.2;(3)=10.7;,37.2,17.3,West,WATERLOO,Open to traffic,Provincial,08/08/2012,71.5,,71.5,,72.3,,72.4,,72.8,,73.2,,73.8,74.3,
33 - 147/2,"Speed River Bridge (East Channel) WBL
",401,43.413771,-80.34404,Bridge,Beam/Girder,Plate I Girder,Steel,1960,1988,,3,Total=36.6  (1)=10.7;(2)=15.2;(3)=10.7;,37.2,17.3,West,WATERLOO,Open to traffic,Provincial,08/17/2012,71,,71,,72.1,,72.6,,74,,73.4,,73.9,74.3,
33 - 149/,"C.N.R. Overpass
",401,43.413934,-80.335634,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1960,1989,,1,Total=8.2  (1)=8.2;,10.1,53.9,West,WATERLOO,Open to traffic,Provincial,06/05/2012,70.1,,70.1,,67.8,,71.4,,73,,73.6,,0,75,
33 - 150/1,Waterloo Regional Road #24 Underpass NBL,401,43.41406,-80.327814,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1990,,,4,Total=64.6  (1)=11.3;(2)=21;(3)=21;(4)=11.3;,65.2,15.1,West,WATERLOO,Open to traffic,Provincial,09/13/2012,73.5,,73.5,,74.2,,74.4,,75,,75,,75,75,
33 - 150/2,"Waterloo Regional Road #24 Underpass SBL
",401,43.414061,-80.328036,Bridge,Slab,Rectangular Voided Slab,Reinforced Cast-In-Place Concrete,1960,1989,,4,Total=64.6  (1)=11.3;(2)=21;(3)=21;(4)=11.3;,64.8,16.8,West,WATERLOO,Open to traffic,Provincial,09/14/2012,63,,63,,56.2,,54.6,,58.8,,72.5,,73,75,
33 - 151/1,Waterloo Regional Road #36 Underpass (Franklin Blvd.),401,43.414699,-80.309491,Bridge,Slab,Rectangular Voided Slab,Reinforced Cast-In-Place Concrete,1960,1991,,4,Total=60.8  (1)=11.7;(2)=18.7;(3)=18.7;(4)=11.7;,61.4,10.7,West,WATERLOO,Open to traffic,Provincial,09/20/2012,69.5,,69.5,,69.6,,73.2,,69.6,,73.8,,73.6,75,
33 - 151/2,Franklin St. Underpass S-W Ramp,401,43.414712,-80.309392,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1991,,,4,Total=61.4  (1)=12;(2)=18.7;(3)=18.7;(4)=12;,62.2,7.2,West,WATERLOO,Open to traffic,Provincial,09/20/2012,73.2,,73.2,,73.7,,74.3,,,,,,,,
